Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20180331,CCF    ,201805     ,120856,15.45,6,-,-, 
20180331,CCF    ,201805     ,120856,15.45,24,-,-, 
20180331,CCF    ,201805     ,120856,15.45,4,-,-, 
20180331,CCF    ,201805     ,121257,15.45,50,-,-, 
20180331,CCF    ,201805     ,121257,15.45,30,-,-, 
20180331,CCF    ,201805     ,121257,15.5,16,-,-, 
20180331,CCF    ,201805     ,121258,15.5,20,-,-, 
20180331,CCF    ,201805     ,121333,15.5,4,-,-, 
20180331,CCF    ,201805     ,125647,15.5,4,-,-, 
20180331,CCF    ,201805     ,130102,15.45,20,-,-, 
20180331,CCF    ,201805     ,132712,15.4,4,-,-, 
20180331,CCF    ,201805     ,134004,15.45,2,-,-, 
20180331,CDF    ,201804     ,084500,247.5,12,-,-,*
20180331,CDF    ,201804     ,084551,247.5,2,-,-, 
20180331,CDF    ,201804     ,084728,247.5,2,-,-, 
20180331,CDF    ,201804     ,085115,247.5,2,-,-, 
20180331,CDF    ,201804     ,085120,247.5,10,-,-, 
20180331,CDF    ,201804     ,085124,247.5,2,-,-, 
20180331,CDF    ,201804     ,085151,247.5,2,-,-, 
20180331,CDF    ,201804     ,085209,247.5,2,-,-, 
20180331,CDF    ,201804     ,085302,247.5,2,-,-, 
20180331,CDF    ,201804     ,085330,247.5,2,-,-, 
20180331,CDF    ,201804     ,085411,247.5,2,-,-, 
20180331,CDF    ,201804     ,085414,247.5,2,-,-, 
20180331,CDF    ,201804     ,085416,247.5,2,-,-, 
20180331,CDF    ,201804/201806,085600,.06,8,247.5,247.56, 
20180331,CDF    ,201804     ,085650,247.5,2,-,-, 
20180331,CDF    ,201804     ,085732,248,4,-,-, 
20180331,CDF    ,201804     ,085833,247.5,2,-,-, 
20180331,CDF    ,201804     ,085833,247.5,2,-,-, 
20180331,CDF    ,201804     ,085903,247.5,4,-,-, 
20180331,CDF    ,201804     ,085927,247,2,-,-, 
20180331,CDF    ,201804     ,090038,247.5,4,-,-, 
20180331,CDF    ,201804     ,090054,247.5,2,-,-, 
20180331,CDF    ,201804     ,090115,247.5,2,-,-, 
20180331,CDF    ,201804/201809,090733,.13,4,247.5,247.63, 
20180331,CDF    ,201804     ,091025,247.5,10,-,-, 
20180331,CDF    ,201804     ,091025,247.5,10,-,-, 
20180331,CDF    ,201804     ,091025,247.5,10,-,-, 
20180331,CDF    ,201804     ,091036,248,2,-,-, 
20180331,CDF    ,201804/201809,091141,.14,4,248,248.14, 
20180331,CDF    ,201804     ,091141,247.5,2,-,-, 
20180331,CDF    ,201804     ,091151,247.5,8,-,-, 
